infinitif,conjugated_like,participe_présent,participe_passé,forme_pronominale
déchirer,parler,déchirant,déchiré,se déchirer 
baigner,parler,baignant,baigné,se baigner 
épargner,parler,épargnant,épargné,s'épargner 
établir,choisir,établissant,établi,s'établir 
vomir,choisir,vomissant,vomi,se vomir 
rassembler,parler,rassemblant,rassemblé,se rassembler 
raccompagner,parler,raccompagnant,raccompagné,–
comparer,parler,comparant,comparé,se comparer 
fournir,choisir,fournissant,fourni,se fournir 
sacrifier,copier,sacrifiant,sacrifié,se sacrifier 
débarquer,parler,débarquant,débarqué,–
torturer,parler,torturant,torturé,se torturer 
pointer,parler,pointant,pointé,se pointer 
inscrire,écrire,inscrivant,inscrit,s'inscrire 
lutter,parler,luttant,lutté,–
épuiser,parler,épuisant,épuisé,s'épuiser 
rapprocher,parler,rapprochant,rapproché,se rapprocher 
sacrer,parler,sacrant,sacré,se sacrer 
unir,choisir,unissant,uni,s'unir 
creuser,parler,creusant,creusé,se creuser 
satisfaire,faire,satisfaisant,satisfait,se satisfaire 
transmettre,mettre,transmettant,transmis,se transmettre 
exécuter,parler,exécutant,exécuté,s'exécuter 
accomplir,choisir,accomplissant,accompli,s'accomplir 
décrocher,parler,décrochant,décroché,se décrocher 
prononcer,commencer,prononçant,prononcé,se prononcer 
impressionner,parler,impressionnant,impressionné,–
nier,copier,niant,nié,–
écarter,parler,écartant,écarté,s'écarter 
guider,parler,guidant,guidé,se guider 
boucler,parler,bouclant,bouclé,–
comporter,parler,comportant,comporté,se comporter 
songer,manger,songeant,songé,se songer 
remuer,parler,remuant,remué,se remuer 
balader,parler,baladant,baladé,se balader 
témoigner,parler,témoignant,témoigné,–
soulever,lever,soulevant,soulevé,se soulever 
céder,céder,cédant,cédé,se céder 
priver,parler,privant,privé,se priver 
renverser,parler,renversant,renversé,se renverser 
entourer,parler,entourant,entouré,s'entourer 
correspondre,vendre,correspondant,correspondu,se correspondre 
imposer,parler,imposant,imposé,s'imposer 
sucer,commencer,suçant,sucé,se sucer 
geler,acheter,gelant,gelé,se geler 
peser,lever,pesant,pesé,se peser 
éprouver,parler,éprouvant,éprouvé,–
enfoncer,commencer,enfonçant,enfoncé,s'enfoncer 
rejeter,appeler,rejetant,rejeté,se rejeter 
déshabiller,parler,déshabillant,déshabillé,se déshabiller 
achever,lever,achevant,achevé,s'achever 
pourrir,choisir,pourrissant,pourri,se pourrir 
régner,céder,régnant,régné,–
parvenir,tenir,parvenant,parvenu,–
chérir,choisir,chérissant,chéri,se chérir 
honorer,parler,honorant,honoré,s'honorer 
repousser,parler,repoussant,repoussé,–
soucier,parler,souciant,soucié,se soucier 
exposer,parler,exposant,exposé,s'exposer 
grouiller,parler,grouillant,grouillé,se grouiller 
intervenir,tenir,intervenant,intervenu,–
améliorer,parler,améliorant,amélioré,–
compliquer,parler,compliquant,compliqué,–
bourrer,parler,bourrant,bourré,se bourrer 
transporter,parler,transportant,transporté,se transporter 
jouir,choisir,jouissant,joui,–
étendre,vendre,étendant,étendu,s'étendre 
piéger,protéger,piégeant,piégé,–
chauffer,parler,chauffant,chauffé,se chauffer 
cuire,traduire,cuisant,cuit,se cuire 
soulager,manger,soulageant,soulagé,se soulager 
pourvoir,pourvoir,pourvoyant,pourvu,se pourvoir 
estimer,parler,estimant,estimé,s'estimer 
relâcher,parler,relâchant,relâché,se relâcher 
craquer,parler,craquant,craqué,–
décoller,parler,décollant,décollé,–
disposer,parler,disposant,disposé,–
publier,copier,publiant,publié,se publier 
grimper,parler,grimpant,grimpé,–
réjouir,choisir,réjouissant,réjoui,se réjouir 
draguer,parler,draguant,dragué,–
réclamer,parler,réclamant,réclamé,se réclamer 
tester,parler,testant,testé,–
piper,parler,pipant,pipé,–
renseigner,parler,renseignant,renseigné,se renseigner 
vieillir,choisir,vieillissant,vieilli,se vieillir 
développer,parler,développant,développé,se développer 
ruiner,parler,ruinant,ruiné,se ruiner 
répandre,vendre,répandant,répandu,se répandre 
brancher,parler,branchant,branché,–
douer,parler,–,doué,–
abuser,parler,abusant,abusé,s'abuser 
reparler,parler,reparlant,reparlé,se reparler 
soupçonner,parler,soupçonnant,soupçonné,se soupçonner 
persuader,parler,persuadant,persuadé,se persuader 
reprocher,parler,reprochant,reproché,se reprocher 
semer,lever,semant,semé,–
paniquer,parler,paniquant,paniqué,se paniquer 
garantir,choisir,garantissant,garanti,se garantir 
dévorer,parler,dévorant,dévoré,–
détacher,parler,détachant,détaché,se détacher 
enquêter,parler,enquêtant,enquêté,–
mesurer,parler,mesurant,mesuré,se mesurer 
empoisonner,parler,empoisonnant,empoisonné,s'empoisonner 
sécher,céder,séchant,séché,se sécher 
employer,employer,employant,employé,s'employer 
mouiller,parler,mouillant,mouillé,se mouiller 
déclencher,parler,déclenchant,déclenché,–
